Cycle#,Sensor_11,Sensor_9,Sensor_12,Sensor_4
1,47.47,9046.19,521.66,1400.6
2,47.49,9044.07,522.28,1403.14
3,47.27,9052.94,522.42,1404.2
4,47.13,9049.48,522.86,1401.87
5,47.28,9055.15,522.19,1406.22
6,47.16,9049.68,521.68,1398.37
7,47.36,9059.13,522.32,1397.77
8,47.24,9040.8,522.47,1400.97
9,47.29,9046.46,521.79,1394.8
10,47.03,9051.7,521.79,1400.46
11,47.15,9049.61,521.4,1400.64
12,47.18,9049.37,521.8,1400.15
13,47.38,9046.82,521.85,1400.83
14,47.44,9047.37,521.67,1399.16
15,47.3,9052.22,522.5,1402.13
16,47.24,9049.34,521.49,1404.5
17,47.12,9054.92,521.89,1399.95
18,47.21,9049.55,521.76,1396.12
19,47.4,9053.99,521.89,1400.35
20,47.22,9045.9,522.07,1405.23
21,47.15,9048.15,522.42,1398.13
22,47.24,9061.21,522.0,1400.57
23,47.25,9046.28,521.52,1394.75
24,47.44,9043.76,522.13,1398.81
25,47.36,9054.16,522.56,1399.39
26,47.26,9047.11,522.28,1396.07
27,47.37,9047.96,522.0,1401.84
28,47.41,9049.84,522.57,1399.13
29,47.24,9050.47,522.41,1400.99
30,47.4,9045.62,522.19,1396.08
31,47.41,9058.78,521.95,1396.9
32,47.25,9050.97,521.92,1400.36
33,47.28,9047.13,521.91,1402.43
34,47.47,9046.46,521.7,1400.48
35,47.31,9045.76,521.75,1403.0
36,47.25,9044.56,522.32,1405.54
37,47.29,9055.44,522.29,1398.9
38,47.27,9055.27,522.42,1399.5
39,47.12,9051.76,522.23,1400.69
40,47.33,9052.98,521.84,1401.77
41,47.09,9048.99,522.07,1403.21
42,47.49,9057.06,522.23,1401.38
43,47.32,9057.88,522.74,1406.05
44,47.45,9046.87,522.3,1401.2
45,47.45,9060.32,521.73,1399.16
46,47.2,9060.38,522.02,1401.27
47,47.22,9052.04,521.84,1402.89
48,47.4,9045.26,521.91,1399.16
49,47.22,9050.64,521.37,1397.76
50,47.47,9048.6,522.33,1403.62
51,47.12,9047.09,521.91,1400.42
52,47.07,9056.01,522.1,1395.57
53,47.29,9051.15,521.96,1402.26
54,47.38,9056.29,522.44,1401.2
55,47.4,9048.94,522.11,1401.58
56,47.26,9042.42,522.48,1400.76
57,47.29,9050.8,521.62,1402.79
58,47.26,9050.33,522.21,1397.99
59,47.26,9050.06,521.32,1403.51
60,47.41,9051.69,522.49,1403.07
61,47.31,9050.58,522.34,1405.52
62,47.28,9053.62,522.19,1399.54
63,47.51,9049.96,521.56,1395.38
64,47.45,9043.67,521.82,1400.11
65,47.56,9044.01,521.54,1403.24
66,47.14,9059.45,521.76,1399.52
67,47.39,9050.24,522.64,1403.02
68,47.36,9051.78,521.72,1404.42
69,47.41,9050.59,522.22,1401.24
70,47.41,9053.43,521.93,1402.78
71,47.3,9046.09,521.72,1403.09
72,47.27,9054.42,521.97,1406.81
73,47.29,9049.64,522.04,1397.93
74,47.58,9045.85,522.25,1401.48
75,47.22,9042.32,521.77,1394.82
76,47.44,9056.55,521.58,1398.94
77,47.41,9046.44,521.6,1400.97
78,47.4,9042.37,522.28,1404.1
79,47.35,9047.86,521.85,1403.93
80,47.64,9043.67,521.52,1393.58
81,47.43,9045.31,521.66,1402.04
82,47.25,9048.22,521.95,1399.17
83,47.22,9049.08,521.93,1406.38
84,47.38,9050.47,521.54,1406.6
85,47.36,9056.08,522.3,1405.96
86,47.38,9047.26,521.82,1403.56
87,47.34,9050.52,521.43,1413.1
88,47.46,9046.73,522.2,1406.09
89,47.46,9055.24,521.55,1402.22
90,47.32,9051.27,521.49,1412.93
91,47.32,9050.72,521.55,1404.76
92,47.45,9048.36,521.91,1400.77
93,47.46,9047.87,521.43,1408.48
94,47.48,9045.83,521.61,1404.94
95,47.38,9048.85,521.92,1410.1
96,47.39,9048.71,521.66,1395.16
97,47.46,9046.1,521.67,1407.81
98,47.37,9045.49,522.31,1404.56
99,47.4,9045.14,521.42,1406.13
100,47.64,9045.72,521.55,1411.35
101,47.62,9052.3,521.89,1403.41
102,47.49,9051.36,521.38,1403.42
103,47.57,9053.28,521.41,1403.21
104,47.34,9044.73,522.38,1406.25
105,47.31,9048.36,521.81,1403.22
106,47.44,9049.82,521.51,1404.45
107,47.35,9048.68,521.75,1407.73
108,47.61,9047.03,521.52,1399.47
109,47.58,9051.13,521.62,1409.1
110,47.55,9051.4,522.01,1401.27
111,47.62,9051.64,521.53,1408.11
112,47.22,9051.28,521.9,1401.84
113,47.46,9053.15,521.75,1406.59
114,47.58,9046.58,521.68,1402.97
115,47.43,9050.37,521.36,1406.6
116,47.43,9049.71,521.6,1401.99
117,47.52,9049.61,521.22,1409.35
118,47.55,9051.12,521.31,1409.34
119,47.55,9045.89,521.46,1404.46
120,47.6,9048.72,521.34,1407.68
121,47.44,9040.97,521.3,1411.9
122,47.6,9042.39,520.92,1413.97
123,47.41,9049.44,521.6,1403.04
124,47.55,9053.03,521.4,1402.28
125,47.63,9046.16,521.57,1406.42
126,47.49,9049.11,521.35,1418.5
127,47.63,9047.9,521.34,1399.49
128,47.62,9056.59,521.96,1407.06
129,47.61,9046.08,522.02,1408.42
130,47.46,9042.97,521.49,1412.25
131,47.7,9045.1,521.45,1413.25
132,47.56,9044.04,521.64,1405.76
133,47.57,9050.95,521.23,1410.11
134,47.75,9046.16,521.52,1402.67
135,47.34,9050.65,520.99,1406.83
136,47.43,9040.89,521.54,1404.39
137,47.89,9040.55,521.63,1405.15
138,47.4,9049.64,521.57,1413.34
139,47.67,9044.81,521.03,1412.6
140,47.51,9055.85,521.27,1408.36
141,47.49,9050.86,521.06,1415.25
142,47.59,9046.61,520.44,1413.42
143,47.52,9050.63,520.98,1404.21
144,47.57,9049.33,521.11,1405.76
145,47.54,9046.92,521.13,1409.63
146,47.63,9045.99,521.13,1408.82
147,47.8,9041.24,520.92,1409.96
148,47.49,9040.93,521.08,1411.89
149,47.83,9057.24,521.13,1410.7
150,47.6,9044.76,520.5,1409.22
151,47.58,9048.12,520.94,1411.94
152,47.72,9043.9,520.39,1420.83
153,47.74,9049.43,520.69,1414.56
154,47.73,9049.08,520.72,1416.07
155,47.61,9049.56,521.23,1414.89
156,47.58,9044.21,520.75,1421.23
157,47.72,9053.12,520.94,1412.47
158,47.68,9049.22,520.88,1410.09
159,47.76,9048.06,520.65,1420.37
160,47.84,9045.42,520.47,1418.08
161,47.77,9048.06,520.47,1417.31
162,47.79,9044.45,520.44,1423.48
163,47.89,9049.24,520.3,1421.09
164,47.7,9048.92,520.63,1416.76
165,47.89,9039.09,520.69,1408.09
166,47.86,9043.11,520.02,1422.37
167,47.85,9042.05,520.49,1414.72
168,47.84,9036.35,520.78,1415.7
169,47.88,9055.18,520.44,1418.05
170,47.86,9044.03,520.23,1417.41
171,48.03,9042.12,519.85,1414.99
172,48.07,9039.1,520.54,1413.73
173,47.9,9048.82,520.11,1425.27
174,48.0,9041.25,520.22,1422.58
175,47.86,9042.66,520.38,1422.52
176,47.84,9045.74,519.8,1422.73
177,48.03,9046.2,520.24,1423.99
178,48.0,9046.17,520.2,1424.65
179,48.02,9044.23,520.38,1429.45
180,47.85,9039.33,519.84,1417.14
181,48.1,9038.29,520.43,1420.64
182,47.98,9041.23,520.46,1426.62
183,48.03,9040.94,520.05,1419.03
184,48.07,9047.91,519.77,1432.52
185,48.15,9043.71,519.82,1424.4
186,48.12,9051.37,520.08,1426.3
187,48.23,9037.71,519.53,1427.27
188,48.0,9037.91,519.79,1422.78
189,48.08,9044.55,519.58,1428.01
190,48.33,9040.58,520.04,1425.95
191,48.15,9042.76,519.57,1425.77
192,48.25,9033.22,520.08,1427.2
1,46.93,9054.72,522.33,1391.28
2,47.24,9051.31,522.7,1393.13
3,47.22,9054.24,522.58,1398.96
4,47.1,9058.01,522.49,1396.08
5,47.25,9058.15,522.27,1402.52
6,47.05,9054.07,522.8,1396.76
7,47.1,9052.67,522.14,1400.65
8,47.2,9055.82,522.77,1395.39
9,47.14,9051.67,522.4,1395.01
10,47.21,9058.88,521.99,1394.86
11,47.21,9053.21,522.2,1401.29
12,47.13,9047.89,521.94,1401.9
13,47.03,9053.63,522.33,1401.53
14,47.12,9047.3,523.07,1395.46
15,47.17,9049.82,521.96,1402.11
16,47.24,9051.79,522.49,1393.46
17,47.13,9052.05,522.71,1390.27
18,47.22,9051.35,522.92,1400.25
19,47.14,9055.07,522.38,1401.77
20,47.14,9050.27,522.54,1394.38
21,47.04,9055.29,522.58,1392.28
22,47.17,9053.31,521.73,1397.67
23,47.21,9051.43,522.26,1387.5
24,47.15,9052.35,522.25,1398.67
25,47.19,9055.28,522.31,1396.62
26,47.12,9050.81,522.8,1392.3
27,47.03,9058.01,522.11,1402.31
28,46.99,9053.78,522.68,1397.45
29,47.11,9055.84,522.26,1398.08
30,47.2,9050.8,522.43,1395.07
31,47.05,9049.93,522.17,1390.94
32,47.12,9045.87,522.54,1391.11
33,47.09,9051.18,522.26,1396.15
34,47.22,9059.29,522.64,1394.24
35,47.25,9057.34,522.0,1392.55
36,47.21,9055.79,522.32,1397.13
37,47.16,9058.16,522.69,1396.29
38,47.22,9055.35,522.13,1397.75
39,47.2,9061.16,522.79,1391.49
40,47.22,9046.96,522.3,1398.38
41,47.26,9053.6,522.22,1398.74
42,47.14,9046.36,522.87,1392.13
43,47.08,9053.65,522.9,1391.6
44,47.22,9057.05,522.77,1398.69
45,47.17,9060.38,522.27,1397.6
46,47.19,9053.33,522.08,1392.6
47,47.03,9046.52,522.73,1396.46
48,47.18,9057.73,522.41,1397.95
49,47.18,9049.11,522.83,1396.5
50,47.16,9051.65,522.16,1399.78
51,47.03,9055.92,522.34,1393.06
52,47.09,9056.25,522.58,1401.66
53,46.98,9051.78,522.73,1397.09
54,47.1,9046.85,522.48,1405.33
55,47.18,9044.62,522.7,1387.16
56,47.03,9052.27,522.1,1388.97
57,47.17,9052.86,521.98,1389.62
58,47.3,9047.75,522.24,1389.91
59,47.17,9053.2,522.78,1397.95
60,47.12,9057.57,521.93,1396.84
61,47.09,9057.02,522.69,1399.71
62,47.27,9048.8,521.78,1401.66
63,47.17,9061.57,522.15,1395.05
64,47.11,9048.35,522.18,1401.46
65,47.34,9057.07,522.52,1395.4
66,47.17,9054.62,522.65,1394.01
67,46.96,9048.97,522.58,1395.44
68,47.16,9054.61,522.2,1399.27
69,47.33,9049.25,522.21,1399.73
70,47.26,9049.78,522.17,1397.3
71,47.24,9053.44,522.02,1403.09
72,47.19,9057.61,522.4,1393.85
73,47.15,9057.35,522.95,1400.98
74,47.25,9060.56,521.97,1396.13
75,47.09,9053.52,522.54,1390.64
76,46.99,9052.13,522.08,1399.66
77,46.95,9052.12,522.36,1395.38
78,47.12,9058.82,522.57,1394.24
79,47.23,9057.44,522.26,1398.51
80,47.2,9056.41,523.26,1394.0
81,47.25,9053.0,522.62,1390.12
82,47.19,9055.28,522.3,1402.78
83,47.13,9047.88,523.13,1398.81
84,47.29,9050.39,522.75,1402.26
85,47.19,9049.41,522.63,1398.33
86,47.27,9050.83,522.26,1399.12
87,47.26,9056.36,522.59,1399.51
88,47.04,9056.67,522.62,1398.17
89,47.18,9054.7,522.42,1394.07
90,47.21,9053.58,522.04,1405.34
91,47.15,9045.94,522.48,1399.47
92,47.13,9050.92,522.45,1399.17
93,47.24,9049.14,522.52,1392.48
94,47.38,9054.99,522.74,1395.39
95,47.06,9048.27,522.37,1402.79
96,47.07,9059.0,521.66,1399.59
97,47.19,9056.26,522.22,1400.5
98,47.21,9056.94,522.92,1401.08
99,47.13,9054.46,522.5,1400.97
100,47.21,9056.18,522.01,1402.72
101,47.37,9051.47,522.4,1397.81
102,47.19,9052.38,522.05,1407.05
103,47.23,9050.8,522.36,1392.16
104,47.26,9055.21,522.18,1397.31
105,47.32,9058.39,522.11,1397.45
106,47.32,9061.94,522.11,1402.62
107,47.16,9058.97,522.34,1402.93
108,47.23,9056.31,522.27,1396.25
109,47.28,9053.21,522.0,1392.9
110,47.31,9053.81,522.27,1398.47
111,47.18,9062.68,522.32,1393.76
112,47.37,9063.33,522.23,1397.2
113,47.23,9049.1,522.1,1404.74
114,47.19,9055.66,522.13,1397.05
115,47.14,9055.06,522.1,1401.33
116,47.01,9053.87,522.48,1398.39
117,47.23,9056.45,522.39,1395.4
118,47.11,9055.61,522.23,1400.99
119,47.24,9054.52,522.21,1401.87
120,47.22,9056.54,521.62,1394.39
121,47.28,9053.67,522.31,1391.52
